=== Simulation Movements Log ===
[Sim] Agent: (1.0928534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.8428534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.5928534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.5928534172242832, 2.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.5928534172242832, 2.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.3428534172242832, 2.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.3428534172242832, 2.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.3428534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.3428534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.5928534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (0.8428534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (0.8428534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (1.0928534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (1.3428534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (1.3428534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.3428534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.3428534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.3428534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (1.0928534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (1.0928534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (1.0928534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (1.0928534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (1.0928534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.8428534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.5928534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.5928534172242832, 2.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.5928534172242832, 2.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.3428534172242832, 2.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 2
[Sim] Agent: (0.3428534172242832, 2.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.3428534172242832, 2.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.3428534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.5928534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (0.8428534172242832, 3.1158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (0.8428534172242832, 3.3658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 3.6158270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (0.8428534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 1
[Sim] Agent: (1.0928534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (1.3428534172242832, 4.115827073334637) | Target: (2.793957881984058, 4.796258780521323) | Action: 3
[Sim] Agent: (6.24823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (5.99823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (5.74823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (5.49823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (5.24823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (4.99823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (4.74823231061318, 4.4692361855132) | Target: (4.325828407739499, 4.74102710352121) | Action: 2
[Sim] Agent: (1.7207928256792766, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (1.7207928256792766, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (1.9707928256792766, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (2.2207928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (2.2207928256792764, 6.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.2207928256792764, 6.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.2207928256792764, 6.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (1.9707928256792764, 6.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 2
[Sim] Agent: (1.9707928256792764, 6.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (1.9707928256792764, 6.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (1.9707928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (1.9707928256792764, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (1.9707928256792764, 5.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (1.9707928256792764, 5.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (2.2207928256792764, 5.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (2.2207928256792764, 5.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.2207928256792764, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.4707928256792764, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (2.4707928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.4707928256792764, 6.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.4707928256792764, 6.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.4707928256792764, 6.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 1
[Sim] Agent: (2.7207928256792764, 6.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (2.7207928256792764, 6.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (2.7207928256792764, 6.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (2.7207928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (2.9707928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (3.2207928256792764, 5.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (3.2207928256792764, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (3.4707928256792764, 5.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (3.4707928256792764, 5.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (3.7207928256792764, 5.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (3.7207928256792764, 5.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (3.9707928256792764, 5.248260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (3.9707928256792764, 4.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (4.220792825679276, 4.998260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (4.220792825679276, 4.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (4.470792825679276, 4.748260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 3
[Sim] Agent: (4.470792825679276, 4.498260997124206) | Target: (4.963012474615894, 4.249674901411515) | Action: 0
[Sim] Agent: (3.7793599257418675, 1.4078420930671285) | Target: (1.2035784789081159, 2.2371079107088487) | Action: 2
[Sim] Agent: (3.5293599257418675, 1.4078420930671285) | Target: (1.2035784789081159, 2.2371079107088487) | Action: 2
[Sim] Agent: (3.2793599257418675, 1.4078420930671285) | Target: (1.2035784789081159, 2.2371079107088487) | Action: 2
[Sim] Agent: (3.0293599257418675, 1.4078420930671285) | Target: (1.2035784789081159, 2.2371079107088487) | Action: 2
